Description,GTINShipDate,Quantity
HP StkHse (12-16oz),11/30/2016,1
Micro - 6Kg (24ct),11/30/2016,2
Micro 20lb 25ct,11/30/2016,0
Micro 20lb 30ct,11/30/2016,0
Murasaki Small Plastic,11/30/2016,0
Pickouts - Plastic,11/30/2016,0
Tray Pack - 4 pk 12 ct,11/30/2016,0
Unused,11/30/2016,1
10lb #1,12/31/2016,3
12/3lb Bags,12/31/2016,8
12ct Steam Bags,12/31/2016,1
18kg (100-150g),12/31/2016,5
18kg (220-260g),12/31/2016,0
18kg (300-450g),12/31/2016,0
18kg (600-800g),12/31/2016,1
20lb #1,12/31/2016,0
20lb Purple,12/31/2016,0
20lb Spec - Bonita No 1,12/31/2016,2
"36""Pickouts(2.5""-4.5"")",12/31/2016,4
40lb #1 Sysco/FP,12/31/2016,0
40lb 100ct,12/31/2016,1
40lb 110ct,12/31/2016,1
40lb 120ct - CV,12/31/2016,0
40lb 25-28ct - CV,12/31/2016,2
40lb 33ct,12/31/2016,4
40lb 35ct Sysco/FP,12/31/2016,0
40lb 38-40ct - CV,12/31/2016,3
40lb 40-50ct - CV,12/31/2016,1
40lb 45ct,12/31/2016,5
40lb 50ct,12/31/2016,7
40lb 55-65ct - CV,12/31/2016,0
40lb 55ct,12/31/2016,5
40lb 65-85ct,12/31/2016,5
40lb 65ct,12/31/2016,2
40lb 65ct Sysco/FP,12/31/2016,2
40lb 70-80ct - CV,12/31/2016,0
40lb 70ct,12/31/2016,3
40lb 75ct,12/31/2016,3
40lb 90ct,12/31/2016,2
40lb Bonita (White),12/31/2016,4
40lb Bonita JBO,12/31/2016,0
40lb Fingerling,12/31/2016,4
40lb Jumbo,12/31/2016,5
40lb Marble Mix,12/31/2016,1
40lb Medium,12/31/2016,1
40lb Murasaki Med,12/31/2016,0
40lb No 1,12/31/2016,7
40lb No 2,12/31/2016,1
40lb Organic,12/31/2016,4
40lb Spc-Purple,12/31/2016,4
40lb Spec-Burgundy,12/31/2016,0
