Description,GTINShipDate,Quantity
500kg Field Run,7/18/2016,1
40lb 55ct,7/18/2016,1
40lb 110ct,7/18/2016,1
40lb Bonita (White),7/18/2016,1
40lb 65-85ct,7/18/2016,1
40lb 45ct,7/18/2016,1
40lb Jumbo,7/18/2016,1
40lb 75ct,7/18/2016,1
500kg (300-800g),7/18/2016,1
500kg (150-300g),7/18/2016,1
40lb Spc-Purple,7/18/2016,1
6kg (600-800g),7/18/2016,1
Micro 20lb 30ct,7/18/2016,1
500kg Giant,7/18/2016,1
40lb Fingerling,7/18/2016,1
40lb Medium,7/18/2016,1
40lb No 1,7/18/2016,1
Tray Pack - 4 pk 12 ct,7/18/2016,1
40lb 50ct,7/18/2016,1
40lb 45ct,7/21/2016,1
40lb 25-28ct - CV,7/21/2016,1
Micro - 6Kg (24ct),7/21/2016,1
40lb Jumbo,7/21/2016,1
40lb 75-85ct,7/21/2016,1
40lb 55ct,7/21/2016,1
40lb 90ct,7/21/2016,1
40lb 65ct Sysco/FP,7/21/2016,1
40lb Bonita JBO,7/21/2016,1
Tray Pack - 4 pk 12 ct,7/21/2016,1
40lb No 1,7/21/2016,1
40lb 65-85ct,7/21/2016,1
40lb 70ct,7/21/2016,1
40lb Fingerling,7/21/2016,1
20lb Spec - Bonita No 1,7/21/2016,1
40lb Medium,7/21/2016,1
40lb 33ct,7/25/2016,1
Pickouts - Plastic,7/25/2016,1
40lb 45ct,7/25/2016,1
40lb 55ct,7/25/2016,1
40lb 120ct - CV,7/25/2016,1
500kg (300-800g),7/25/2016,1
12/3lb Bags,7/25/2016,1
18kg (600-800g),7/25/2016,1
40lb 90ct,7/25/2016,1
Micro 20lb 25ct,7/25/2016,1
6kg (450-600g)L2,7/25/2016,1
40lb Jumbo,7/25/2016,1
500kg Field Run,7/25/2016,1
500kg (150-300g),7/25/2016,1
Micro 20lb 30ct,7/25/2016,1
40lb Bonita (White),7/25/2016,1
40lb Spc-Purple,7/25/2016,1
40lb 75ct,7/25/2016,1
20lb Purple,7/25/2016,1
HP StkHse (12-16oz),7/25/2016,1
40lb No 2,7/25/2016,1
20lb Purple,7/26/2016,1
500kg Field Run,7/26/2016,1
40lb 75-85ct,7/26/2016,1
40lb 55ct,7/26/2016,1
500kg (150-300g),7/26/2016,1
40lb 65ct,7/26/2016,1
6kg (300-450g)L1,7/26/2016,1
18kg (100-150g),8/8/2016,1
12/3lb Bags,8/8/2016,1
40lb 120ct - CV,8/8/2016,1
"55"" Bin Giant",8/8/2016,1
40lb No 1,8/8/2016,1
6kg (450-600g)L2,8/8/2016,1
6kg (300-450g)L1,8/8/2016,1
40lb 38-40ct - CV,8/8/2016,1
40lb 45ct,8/8/2016,1
500kg (150-300g),8/8/2016,1
40lb 65-85ct,8/8/2016,1
40lb 75ct,8/8/2016,1
40lb Spc-Purple,8/8/2016,1
40lb Murasaki Med,8/8/2016,1
40lb Fingerling,8/8/2016,1
40lb Bonita (White),8/8/2016,1
12ct Steam Bags,8/8/2016,1
Pickouts - Plastic,8/8/2016,1
Tray Pack - 4 pk 12 ct,8/8/2016,1
40lb 90ct,8/8/2016,1
40lb 50ct,8/8/2016,1
500kg Giant,8/8/2016,1
40lb Jumbo,8/8/2016,1
500kg (300-800g),8/8/2016,1
HP StkHse (12-16oz),8/8/2016,1
18kg (600-800g),8/9/2016,1
40lb Jumbo,8/9/2016,1
"55"" Bin Giant",8/9/2016,1
40lb Fingerling,8/9/2016,1
500kg (150-300g),8/9/2016,1
20lb Purple,8/9/2016,1
40lb 65-85ct,8/9/2016,1
6kg (450-600g)L2,8/9/2016,1
6kg (300-450g)L1,8/9/2016,1
40lb Bonita (White),8/9/2016,1
500kg Field Run,8/9/2016,1
18kg (220-260g),8/9/2016,1
40lb Organic,8/9/2016,1
12/3lb Bags,8/9/2016,1
40lb 33ct,8/9/2016,1
18kg (100-150g),8/9/2016,1
500kg (300-800g),8/9/2016,1
40lb 45ct,8/9/2016,1
Micro 20lb 30ct,8/9/2016,1
500kg Giant,8/9/2016,1
Tray Pack - 4 pk 12 ct,8/9/2016,1
10lb #1,8/9/2016,1
40lb 110ct,8/9/2016,1
6kg (600-800g),8/9/2016,1
40lb No 1,8/9/2016,1
40lb 50ct,8/9/2016,1
20lb #1,8/9/2016,1
40lb 35ct Sysco/FP,8/9/2016,1
HP StkHse (12-16oz),8/9/2016,1
40lb Spec-Carolina Ruby,8/9/2016,1
40lb No 1,8/15/2016,1
"55"" Bin Giant",8/15/2016,1
18kg (100-150g),8/15/2016,1
40lb Jumbo,8/15/2016,1
10lb #1,8/15/2016,1
40lb 65ct Sysco/FP,8/15/2016,1
40lb Spc-Purple,8/15/2016,1
40lb 55ct,8/15/2016,1
500kg Field Run,8/15/2016,1
40lb 90ct,8/15/2016,1
18kg (220-260g),8/15/2016,1
Tray Pack - 4 pk 12 ct,8/15/2016,1
40lb 75ct,8/15/2016,1
40lb 65ct,8/15/2016,1
40lb 45ct,8/15/2016,1
6kg (300-450g)L1,8/15/2016,1
40lb 65-85ct,8/15/2016,1
500kg (300-800g),8/15/2016,1
500kg (150-300g),8/15/2016,1
40lb 33ct,8/15/2016,1
12/3lb Bags,8/15/2016,1
40lb Marble Mix,8/15/2016,1
6kg (450-600g)L2,8/15/2016,1
18kg (600-800g),8/15/2016,1
40lb Bonita (White),8/15/2016,1
500kg Giant,8/15/2016,1
500kg (150-300g),8/17/2016,1
40lb Spc-Purple,8/17/2016,1
Micro - 6Kg (24ct),8/17/2016,1
40lb Small,8/17/2016,1
18kg (100-150g),8/17/2016,1
Unused,8/24/2016,1
40lb 75ct,8/24/2016,1
6kg (300-450g)L1,8/24/2016,1
500kg (150-300g),8/24/2016,1
6kg (450-600g)L2,8/24/2016,1
18kg (600-800g),8/24/2016,1
18kg (100-150g),8/24/2016,1
40lb Small,8/24/2016,1
12/3lb Bags,8/29/2016,1
500kg (220g-260g),8/29/2016,1
40lb 90ct,8/29/2016,1
40lb Jumbo,8/29/2016,1
40lb 55ct,8/29/2016,1
6kg (450-600g)L2,8/29/2016,1
18kg (600-800g),8/29/2016,1
40lb Small,8/29/2016,1
Pickouts - Plastic,8/29/2016,1
500kg (150-300g),8/29/2016,1
500kg Giant,8/29/2016,1
6kg (300-450g)L1,8/29/2016,1
40lb No 1,8/29/2016,1
40lb 65-85ct,8/29/2016,1
18kg (100-150g),8/29/2016,1
"55"" Bin Giant",8/29/2016,1
40lb 55ct,8/30/2016,1
40lb 75ct,8/30/2016,1
"55"" Bin Giant",8/30/2016,1
500kg (150-300g),8/30/2016,1
6kg (450-600g)L2,8/30/2016,1
12/3lb Bags,8/30/2016,1
500kg (220g-260g),9/16/2016,1
18kg (220-260g),9/16/2016,1
40lb 65ct Sysco/FP,9/16/2016,1
500kg (150-300g),9/16/2016,1
40lb Organic,11/16/2016,1
40lb 70ct,11/16/2016,1
40lb Fingerling,11/29/2016,1
HP StkHse (12-16oz),11/29/2016,1
500kg Field Run,11/29/2016,1
18kg (100-150g),11/29/2016,1
12/3lb Bags,11/29/2016,1
Micro - 6Kg (24ct),11/29/2016,1
"55"" Bin Giant",11/29/2016,1
6kg (300-450g)L1,11/29/2016,1
40lb Organic,11/29/2016,1
40lb Spc-Purple,11/29/2016,1
6kg (450-600g)L2,11/29/2016,1
10lb #1,11/29/2016,1
40lb 45ct,11/29/2016,1
40lb 90ct,11/29/2016,1
40lb 55ct,11/30/2016,1
40lb 33ct,11/30/2016,1
40lb 45ct,11/30/2016,1
40lb 65-85ct,11/30/2016,1
6kg (300-450g)L1,11/30/2016,1
40lb Organic,11/30/2016,1
40lb 90ct,11/30/2016,1
12/3lb Bags,11/30/2016,1
40lb Bonita (White),11/30/2016,1
40lb No 2,11/30/2016,1
10lb #1,11/30/2016,1
40lb 50ct,11/30/2016,1
40lb 70ct,11/30/2016,1
Unused,11/30/2016,1
18kg (300-450g),11/30/2016,1
12ct Steam Bags,11/30/2016,1
10lb Spec-Purple,11/30/2016,1
40lb 90ct - Cap D's,11/30/2016,1
18kg (100-150g),11/30/2016,1
40lb 65ct,11/30/2016,1
40lb Fingerling,11/30/2016,1
40lb Jumbo,11/30/2016,1
40lb 75ct,11/30/2016,1
"55"" Bin Giant",11/30/2016,1
Micro - 6Kg (24ct),11/30/2016,1
40lb 33ct,12/1/2016,1
40lb Jumbo,12/1/2016,1
40lb 45ct,12/1/2016,1
6kg (450-600g)L2,12/1/2016,1
40lb 90ct,12/1/2016,1
40lb Organic,12/1/2016,1
12/3lb Bags,12/1/2016,1
40lb No 1,12/1/2016,1
40lb 38-40ct - CV,12/1/2016,1
40lb 50ct,12/1/2016,1
500kg (150-300g),12/1/2016,1
10lb #1,12/1/2016,1
40lb 110ct,12/1/2016,1
40lb Fingerling,12/1/2016,1
40lb Bonita (White),12/1/2016,1
18kg (600-800g),12/2/2016,1
18kg (100-150g),12/2/2016,1
40lb Medium,12/3/2016,1
500kg (300-800g),12/3/2016,1
6kg (450-600g)L2,12/3/2016,1
6kg (300-450g)L1,12/3/2016,1
500kg Giant,12/3/2016,1
40lb No 1,12/5/2016,1
500kg Field Run,12/5/2016,1
40lb Spc-Purple,12/6/2016,1
40lb No 1,12/6/2016,1
40lb 70ct,12/6/2016,1
Micro - 6Kg (24ct),12/6/2016,1
40lb 65-85ct,12/6/2016,1
12ct Steam Bags,12/6/2016,1
12/3lb Bags,12/6/2016,1
"36""Pickouts(2.5""-4.5"")",12/8/2016,1
40lb Bonita (White),12/9/2016,1
40lb Organic,12/9/2016,1
"36""Pickouts(2.5""-4.5"")",12/9/2016,1
40lb 65-85ct,12/9/2016,1
40lb 55ct,12/9/2016,1
18kg (100-150g),12/9/2016,1
10lb #1,12/9/2016,1
"55"" Bin Giant",12/9/2016,1
40lb 50ct,12/9/2016,1
Micro - 6Kg (24ct),12/9/2016,1
40lb 45ct,12/9/2016,1
40lb Spc-Purple,12/9/2016,1
40lb 40-50ct - CV,12/12/2016,1
10lb #1,12/12/2016,1
40lb 55ct,12/12/2016,1
40lb Jumbo,12/12/2016,1
"55"" Bin Giant",12/12/2016,1
40lb 45ct,12/12/2016,1
40lb 75ct,12/12/2016,1
40lb 33ct,12/12/2016,1
40lb 38-40ct - CV,12/12/2016,1
12/3lb Bags,12/12/2016,1
40lb 65ct Sysco/FP,12/12/2016,1
40lb 50ct,12/12/2016,1
40lb Bonita (White),12/12/2016,1
40lb 90ct,12/12/2016,1
40lb Spc-Purple,12/12/2016,1
40lb 65ct,12/12/2016,1
Micro - 6Kg (24ct),12/12/2016,1
40lb 65-85ct,12/12/2016,1
40lb No 1,12/12/2016,1
18kg (100-150g),12/12/2016,1
40lb Fingerling,12/12/2016,1
40lb 25-28ct - CV,12/12/2016,1
HP StkHse (12-16oz),12/12/2016,1
40lb 50ct,12/19/2016,1
40lb 25-28ct - CV,12/19/2016,1
40lb 55ct,12/19/2016,1
40lb Jumbo,12/19/2016,1
40lb Marble Mix,12/19/2016,1
"55"" Bin Giant",12/19/2016,1
18kg (100-150g),12/19/2016,1
40lb No 1,12/19/2016,1
20lb Spec - Bonita No 1,12/19/2016,1
"36""Pickouts(2.5""-4.5"")",12/19/2016,1
40lb 70ct,12/19/2016,1
12/3lb Bags,12/19/2016,1
40lb Spc-Purple,12/19/2016,1
40lb Organic,12/19/2016,1
40lb 33ct,12/19/2016,1
40lb No 2,12/19/2016,1
40lb 75ct,12/19/2016,1
Micro - 6Kg (24ct),12/19/2016,1
"55"" Bin Giant",12/20/2016,1
40lb No 1,12/20/2016,1
40lb Bonita (White),12/20/2016,1
12/3lb Bags,12/20/2016,1
40lb 50ct,12/20/2016,1
40lb Fingerling,12/22/2016,1
40lb 50ct,12/22/2016,1
"36""Pickouts(2.5""-4.5"")",12/22/2016,1
12/3lb Bags,12/22/2016,1
HP StkHse (12-16oz),12/22/2016,1
40lb 70ct,12/22/2016,1
"55"" Bin Giant",12/22/2016,1
"55"" Bin Giant",12/23/2016,1
Micro 20lb 30ct,12/23/2016,1
40lb 55ct,12/27/2016,1
40lb 65-85ct,12/27/2016,1
HP StkHse (12-16oz),12/27/2016,1
Micro 20lb 30ct,12/27/2016,1
